,id,retweet_count,favorite_count
546,798682547630837760,5163,0
547,798925684722855936,1565,7945
548,808134635716833280,6497,0
549,811647686436880384,809,5939
550,800188575492947969,4313,0
551,811386762094317568,6973,22263
552,803276597545603072,2694,10693
553,798694562394996736,5425,0
554,810984652412424192,1561,5671
555,812503143955202048,1328,6465
556,804738756058218496,4203,14638
557,809920764300447744,4269,16490
558,801127390143516673,4336,0
559,808106460588765185,2400,9318
560,802239329049477120,2848,9674
561,801538201127157760,2243,8741
562,803692223237865472,8129,0
563,800443802682937345,4717,0
564,813051746834595840,7992,22297
565,802572683846291456,2735,9528
566,798686750113755136,2535,0
567,800141422401830912,2805,16340
568,802600418706604034,1609,7587
569,806219024703037440,1303,6847
570,808733504066486276,2369,8422
571,810284430598270976,12433,37730
572,810254108431155201,3660,15630
573,809220051211603969,6133,21223
574,801958328846974976,1867,8230
575,813066809284972545,2115,8473
576,798697898615730177,7114,0
577,805826884734976000,2001,7014
578,799308762079035393,6033,0
579,813112105746448384,3004,10989
580,800018252395122689,14396,30294
581,806576416489959424,2097,5167
582,803638050916102144,4515,11702
583,808501579447930884,2841,12009
584,803321560782307329,5800,0
585,799422933579902976,2093,8586
586,810657578271330305,2890,11677
587,799297110730567681,3027,10579
588,794926597468000259,2522,10976
589,794983741416415232,3690,0
590,789280767834746880,5399,0
591,798209839306514432,2797,11077
592,796759840936919040,3350,12663
593,788070120937619456,3735,0
594,797545162159308800,5305,15482
595,787322443945877504,1908,8309
596,792050063153438720,1973,7657
597,788765914992902144,11248,29271
598,798665375516884993,4253,0
599,787717603741622272,3036,10902
600,791312159183634433,2776,9391
601,788039637453406209,1444,6555
602,798585098161549313,6240,0
603,793210959003287553,3074,9536
604,786729988674449408,2631,0
605,792773781206999040,1834,7837
606,798340744599797760,3668,0
607,796387464403357696,4563,11744
608,791784077045166082,10525,0
609,793195938047070209,6153,16316
610,796484825502875648,1928,8087
611,796116448414461957,2647,9711
612,789903600034189313,4508,11093
613,791821351946420224,22986,0
614,792883833364439040,4681,12076
615,789599242079838210,2117,7222
616,793845145112371200,2052,9831
617,796904159865868288,9704,0
618,796031486298386433,4023,11543
619,795076730285391872,5947,17331
620,798673117451325440,6052,0
621,790723298204217344,2533,0
622,786363235746385920,3817,11615
623,791780927877898241,4161,0
624,787111942498508800,7335,0
625,793120401413079041,4278,13550
626,787397959788929025,3096,11566
627,794355576146903043,11248,0
628,798644042770751489,2026,0
629,791406955684368384,4501,14002
630,789986466051088384,2533,9858
631,794205286408003585,3621,9827
632,787810552592695296,3337,9249
633,793614319594401792,3417,0
634,791774931465953280,24284,48210
635,790946055508652032,5130,17727
636,789314372632018944,2518,9192
637,789960241177853952,4516,0
638,788150585577050112,1424,6554
639,791026214425268224,4493,0
640,786595970293370880,3373,10037
641,789628658055020548,1948,8012
642,792394556390137856,4690,14353
643,789268448748703744,2819,9730
644,796177847564038144,15671,0
645,790698755171364864,2086,8742
646,794332329137291264,2901,10226
647,786963064373534720,8707,28344
648,791672322847637504,3417,12547
649,793180763617361921,2181,7403
650,789530877013393408,3690,12543
651,795400264262053889,3141,10769
652,788908386943430656,13525,29250
653,793226087023144960,3129,10502
654,788412144018661376,5783,16643
655,790337589677002753,2041,8346
656,797165961484890113,29,246
657,793256262322548741,9130,21347
658,792913359805018113,4389,15309
659,790581949425475584,7860,22058
660,793135492858580992,2729,6907
661,790987426131050500,2338,10552
662,793241302385262592,3583,11230
663,788178268662984705,2307,7710
664,796865951799083009,2084,8183
665,796149749086875649,15671,34523
666,786664955043049472,2787,11369
667,793165685325201412,3042,10042
668,797236660651966464,7252,21323
669,790227638568808452,3907,0
670,797971864723324932,3436,12434
671,796080075804475393,2535,9029
672,795464331001561088,26055,53182
673,793286476301799424,10070,26259
674,798628517273620480,2150,0
675,789137962068021249,3055,10355
676,790277117346975746,3479,13392
677,793962221541933056,5341,17946
678,796125600683540480,1954,5277
679,793271401113350145,2591,9232
680,786709082849828864,6648,19369
681,793601777308463104,1785,8513
682,793500921481273345,2602,11417
683,798576900688019456,6394,0
684,793150605191548928,1869,6588
685,786286427768250368,3115,8478
686,788552643979468800,7863,0
687,796563435802726400,7979,0
688,776088319444877312,165,1937
689,784057939640352768,12132,31815
690,778748913645780993,1444,7330
